assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker
91.8959;13986;8.6891;12.8948;17.6751;21.1884;48.99;5.6381;2.7717;5.3294;2.3121;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.59;5.477;2.6925;5.1771;2.246;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.66;5.485;2.6964;5.1847;2.2493;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.6;5.4781;2.693;5.1782;2.2465;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;46.26;5.3239;2.6172;5.0324;2.1833;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.0;5.1789;2.5459;4.8954;2.1238;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.94;5.0569;2.486;4.7801;2.0738;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.76;5.0362;2.4758;4.7605;2.0653;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.95;5.2882;2.5997;4.9987;2.1686;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.0;5.1789;2.5459;4.8954;2.1238;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.64;5.2526;2.5822;4.965;2.154;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;46.91;5.3987;2.654;5.1032;2.2139;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;46.14;5.3101;2.6104;5.0194;2.1776;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.52;5.2388;2.5754;4.9519;2.1483;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;46.85;5.3918;2.6506;5.0966;2.2111;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;46.95;5.4033;2.6563;5.1075;2.2158;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;48.29;5.5575;2.7321;5.2533;2.2791;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.47;5.4632;2.6857;5.1641;2.2404;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.86;5.5081;2.7078;5.2065;2.2588;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.33;5.4471;2.6778;5.1488;2.2338;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.18;5.4298;2.6693;5.1325;2.2267;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.79;5.5;2.7038;5.1989;2.2555;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;48.58;5.5909;2.7485;5.2848;2.2928;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.07;5.6473;2.7762;5.3381;2.3159;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.02;5.6416;2.7734;5.3327;2.3135;1361346696;SUZB3
